Rk,Player,WS,G,Season,Age,Team,AS,DRtg,DWS,DBPM,STL,BLK,STL%,BLK%,Pos
528,Michael Porter Jr.,6.9,61,2020-21,22,DEN,0,112,2.1,-0.9,0.7,0.9,1,2.8,F
529,Reggie Jackson,6.9,79,2015-16,25,DET,0,108,1.9,-0.6,0.7,0.1,1.2,0.3,G
530,Jonas Valančiūnas,6.9,60,2015-16,23,TOR,0,102,2.4,-0.5,0.4,1.3,0.8,4.2,C
531,Darren Collison,6.8,76,2018-19,31,IND,0,108,2.9,1,1.4,0.1,2.5,0.4,G
532,Tobias Harris,6.8,82,2016-17,24,DET,0,108,2.8,0.3,0.7,0.5,1.2,1.3,F
533,Danilo Gallinari,6.8,63,2016-17,28,DEN,0,115,0.7,-1.4,0.6,0.2,0.9,0.5,F
534,Mike Conley,6.8,70,2014-15,27,MEM,0,104,2.7,0.2,1.3,0.2,2.1,0.5,G
535,Bam Adebayo,6.8,82,2018-19,21,MIA,0,104,3.4,2.2,0.9,0.8,1.8,3,C-F
536,Steven Adams,6.8,76,2021-22,28,MEM,0,108,3,1,0.9,0.8,1.6,2.7,C
537,Greg Monroe,6.8,69,2014-15,24,DET,0,103,2.8,0,1.1,0.5,1.9,1.3,C-F
538,Russell Westbrook,6.8,73,2018-19,30,OKC,1,103,5,2.4,1.9,0.5,2.5,1.1,G
539,Goran Dragić,6.8,78,2014-15,28,MIAPHX,0,110,1.4,-0.8,1,0.2,1.5,0.5,G
540,Dirk Nowitzki,6.8,75,2015-16,37,DAL,0,106,2.6,0.1,0.7,0.7,1.1,1.8,F-C
541,Dwight Howard,6.8,81,2017-18,32,CHA,0,104,3.9,0.1,0.6,1.6,1,4.4,C
542,Marcin Gortat,6.8,82,2016-17,32,WAS,0,108,2.9,-0.5,0.5,0.7,0.8,2,C-F
543,Tristan Thompson,6.8,82,2014-15,23,CLE,0,106,2.1,-1.4,0.4,0.7,0.8,2.2,F-C
544,Kevon Looney,6.8,82,2021-22,25,GSW,0,105,3.2,1.7,0.6,0.6,1.4,2.9,F-C
545,Aaron Gordon,6.8,68,2022-23,27,DEN,0,115,2.2,-0.3,0.8,0.8,1.3,2.2,F
546,Mitchell Robinson,6.8,61,2019-20,21,NYK,0,107,2,1.4,0.9,2,1.8,8,C
547,Bojan Bogdanović,6.8,81,2018-19,29,IND,0,110,2.8,-0.6,0.9,0,1.3,0,G-F
548,Mike Conley,6.7,72,2021-22,34,UTA,0,111,2.3,0.7,1.3,0.3,2.3,0.9,G
549,Jrue Holiday,6.7,67,2022-23,32,MIL,1,112,2.8,0.1,1.2,0.4,1.7,0.9,G
550,Ed Davis,6.7,81,2015-16,26,POR,0,104,2.3,0.9,0.7,0.9,1.7,3.3,F
551,Lou Williams,6.7,79,2017-18,31,LAC,0,113,1.2,-1.8,1.1,0.2,1.6,0.6,G
552,JJ Redick,6.7,75,2015-16,31,LAC,0,109,1.4,-1.1,0.6,0.1,1,0.2,G
553,Ivica Zubac,6.7,76,2022-23,25,LAC,0,112,2.9,0.2,0.4,1.3,0.7,4,C
554,Willie Cauley-Stein,6.7,81,2018-19,25,SAC,0,108,2.9,1.1,1.2,0.6,2,2,F-C
555,Harrison Barnes,6.7,82,2014-15,22,GSW,0,104,3,-0.1,0.7,0.2,1.3,0.6,F
556,JJ Redick,6.7,78,2014-15,30,LAC,0,111,0.9,-1.6,0.5,0.1,0.8,0.3,G
557,John Collins,6.7,63,2020-21,23,ATL,0,112,1.9,-0.2,0.5,1,0.9,3,F
558,Klay Thompson,6.7,81,2013-14,23,GSW,0,106,3.2,-0.1,0.9,0.5,1.3,1,G-F
559,Fred VanVleet,6.7,65,2021-22,27,TOR,1,111,2.8,0.5,1.7,0.5,2.3,1.4,G
560,Jonas Valančiūnas,6.7,81,2013-14,21,TOR,0,104,3.2,-0.7,0.3,0.9,0.5,2.5,C
561,Paul Millsap,6.7,74,2013-14,28,ATL,1,102,4,1.3,1.7,1.1,2.6,2.5,F
562,Immanuel Quickley,6.7,81,2022-23,23,NYK,0,115,2.3,0.4,1,0.2,1.7,0.6,G
563,Andre Drummond,6.7,81,2016-17,23,DET,0,99,5.3,0.8,1.5,1.1,2.6,3.1,C
564,Trae Young,6.7,73,2022-23,24,ATL,0,119,1.4,-2,1.1,0.1,1.5,0.3,G
565,Brook Lopez,6.7,81,2018-19,30,MIL,0,103,4.3,1.8,0.6,2.2,1,6.5,C
566,Khris Middleton,6.7,79,2014-15,23,MIL,0,102,3.5,1.1,1.5,0.1,2.6,0.4,F-G
567,Kyrie Irving,6.7,71,2013-14,21,CLE,1,108,2.1,-0.2,1.5,0.3,2.2,0.8,G
568,Nikola Jokić,6.7,80,2015-16,20,DEN,0,104,2.2,1.3,1,0.6,2.3,2.3,C-F
569,Tobias Harris,6.7,80,2017-18,25,DETLAC,0,110,2.5,-0.4,0.9,0.4,1.3,1.1,F
570,Jae Crowder,6.7,72,2016-17,26,BOS,0,108,2.5,-0.1,1,0.3,1.6,0.8,F
571,Ivica Zubac,6.6,72,2019-20,22,LAC,0,105,2.3,0.9,0.2,0.9,0.6,4.4,C
572,Scottie Barnes,6.6,74,2021-22,20,TOR,0,111,2.9,0.4,1.1,0.7,1.5,2.1,G-F
573,Kyle Lowry,6.6,65,2018-19,32,TOR,1,108,3,0.6,1.4,0.5,2,1.2,G
574,Dwight Powell,6.6,79,2017-18,26,DAL,0,107,2.1,1,0.8,0.4,2,1.7,F-C
575,Dorian Finney-Smith,6.6,80,2021-22,28,DAL,0,110,3.2,0.7,1.1,0.5,1.7,1.3,F
576,Chris Paul,6.6,58,2018-19,33,HOU,0,109,2.2,1.1,2,0.3,3,0.8,G
577,JJ Redick,6.6,70,2017-18,33,PHI,0,110,1.8,-1.1,0.5,0.1,0.8,0.2,G
578,Julius Randle,6.6,82,2017-18,23,LAL,0,107,2.6,0,0.5,0.5,0.9,1.7,F-C
579,Dario Šarić,6.6,78,2017-18,23,PHI,0,107,2.8,-0.5,0.7,0.3,1.1,0.7,F-C
580,Jaren Jackson Jr.,6.6,63,2022-23,23,MEM,1,105,3.8,2,1,3,1.7,9.6,F
581,Tobias Harris,6.6,76,2015-16,23,DETORL,0,107,2.5,0.3,0.9,0.5,1.3,1.3,F
582,Lou Williams,6.6,80,2014-15,28,TOR,0,109,1.1,-0.9,1.1,0.1,2.3,0.4,G
583,Trevor Ariza,6.6,82,2014-15,29,HOU,0,103,3.9,1.1,1.9,0.2,2.6,0.5,F
584,CJ McCollum,6.6,81,2017-18,26,POR,0,109,2.9,-0.5,1,0.4,1.3,1,G
585,Jrue Holiday,6.6,59,2020-21,30,MIL,0,111,2.2,0.6,1.6,0.6,2.4,1.7,G
586,Dwight Howard,6.6,71,2015-16,30,HOU,0,104,3.1,-0.2,1,1.6,1.5,4.1,C
587,Mitchell Robinson,6.5,59,2022-23,24,NYK,0,110,2.6,1.4,0.9,1.8,1.7,6.5,C
588,Daniel Theis,6.5,65,2019-20,27,BOS,0,105,2.6,1.8,0.6,1.3,1.1,5,C
589,T.J. Warren,6.5,67,2019-20,26,IND,0,110,2.6,0,1.2,0.5,1.7,1.4,F
590,Harrison Barnes,6.5,82,2022-23,30,SAC,0,119,1.4,-1.5,0.7,0.1,1,0.3,F
591,Kenneth Faried,6.5,80,2013-14,24,DEN,0,106,2.5,-0.3,0.9,0.9,1.6,2.3,F-C
592,Malcolm Brogdon,6.5,64,2018-19,26,MIL,0,108,2.3,0.1,0.7,0.2,1.2,0.6,G
593,Steven Adams,6.5,80,2015-16,22,OKC,0,105,2.3,0.2,0.5,1.1,1,3.3,C
594,Jayson Tatum,6.5,64,2020-21,22,BOS,1,112,2.5,-0.3,1.2,0.5,1.6,1.3,F
595,Mike Dunleavy,6.5,82,2013-14,33,CHI,0,102,4.1,1.1,0.8,0.6,1.3,1.4,F-G
596,Andrew Bogut,6.5,67,2013-14,29,GSW,0,96,4,3.2,0.7,1.8,1.3,5.2,C
597,Fred VanVleet,6.5,69,2022-23,28,TOR,0,114,2.8,0.5,1.8,0.6,2.4,1.5,G
598,Steven Adams,6.5,63,2019-20,26,OKC,0,106,2.7,1.1,0.8,1.1,1.5,3.4,C
599,Josh McRoberts,6.5,78,2013-14,26,CHA,0,105,3,1.5,0.7,0.6,1.3,1.5,F-C
600,Tyler Zeller,6.5,82,2014-15,25,BOS,0,105,2,0,0.2,0.6,0.5,2.3,F-C
601,Steven Adams,6.5,80,2016-17,23,OKC,0,107,3.1,0,1.1,1,1.8,2.6,C
602,Jarrett Allen,6.4,63,2020-21,22,BKNCLE,0,112,2.1,-0.2,0.5,1.4,0.8,4.3,C-F
603,Enes Freedom,6.4,75,2014-15,22,OKCUTA,0,106,2.1,-2.5,0.5,0.4,0.9,1.1,C
604,Rudy Gobert,6.4,61,2015-16,23,UTA,0,99,3.8,2.2,0.7,2.2,1.2,5.9,C
605,Paul Millsap,6.4,69,2016-17,31,ATL,1,104,3.8,1.3,1.3,0.9,1.9,2.3,F
606,Pau Gasol,6.4,64,2016-17,36,SAS,0,102,3.1,1.5,0.4,1.1,0.8,3.5,C-F
607,Markieff Morris,6.4,81,2013-14,24,PHX,0,106,2.4,0.2,0.8,0.6,1.6,1.8,F
608,Kevin Love,6.4,60,2016-17,28,CLE,1,107,2.4,-1.2,0.9,0.4,1.4,0.9,F-C
609,Luol Deng,6.4,74,2015-16,30,MIA,0,105,2.8,0.2,1,0.4,1.6,0.9,F
610,Khris Middleton,6.4,68,2020-21,29,MIL,0,113,2.2,-0.3,1.1,0.1,1.5,0.4,F-G
611,Nikola Vučević,6.4,62,2019-20,29,ORL,0,107,2.9,0.5,0.9,0.8,1.3,2.1,C
612,Carmelo Anthony,6.4,72,2015-16,31,NYK,1,107,2.5,-0.5,0.9,0.5,1.3,1.1,F
613,Kyle Lowry,6.4,63,2021-22,35,MIA,0,110,2.7,0.8,1.1,0.3,1.6,0.8,G
614,Zach Randolph,6.4,79,2013-14,32,MEM,0,105,3.5,-0.9,0.7,0.3,1.1,0.7,F-C
615,Kevin Love,6.4,59,2017-18,29,CLE,1,109,1.6,-1.3,0.7,0.4,1.3,1.2,F-C
