BLK,DWS,DBPM,DRtg,DRB,DFG_PCT,charges,Deflections,def_LB,Height,Weight,Position,vote_getter,Share,MP,w_L_pct,Player,Season,DFGA,DPOY,STL
14,2,0.4,115,309,48.5,38,117,29,76,205,G,No,0,1968,0.561,brandin podziemski,2023-24,785,0,58
55,3,-0.4,110,579,51.7,0,56,12,83,265,C,No,0,1968,0.512,jonas valanciunas,2022-23,1025,0,24
38,1.7,-1.5,118,219,45.6,0,81,13,78,220,G,No,0,2284,0.561,klay thompson,2023-24,793,0,46
122,3.2,0.6,101,384,41.8,4,31,0,86,290,C,No,0,1926,0.463,roy hibbert,2014-15,833,0,15
22,2.7,0.3,113,203,47.6,1,140,24,78,225,G,No,0,2113,0.561,jaime jaquez jr,2023-24,886,0,75
102,4.1,2,105,650,46.8,1,113,38,84,280,C,No,0,2297,0.622,joel embiid,2021-22,1300,0,75
60,2.8,-0.7,115,591,49.4,1,137,17,82,260,C,No,0,2610,0.476,nikola vucevic,2023-24,1227,0,52
23,1.2,0,118,188,46.9,2,66,22,77,209,G,No,0,1676,0.598,pat connaughton,2023-24,735,0,38
8,1,-0.6,118,96,48.2,6,108,12,75,183,G,No,0,1304,0.573,cameron payne,2023-24,413,0,38
59,2.7,-0.1,111,617,48.6,0,73,20,83,265,C,No,0,2240,0.439,jonas valanciunas,2021-22,1217,0,44
47,2.6,-0.7,107,443,49.5,2,122,19,83,279,C,No,0,1351,0.476,andre drummond,2023-24,663,0,70
40,2.4,-0.3,114,247,47.1,1,97,27,75,190,G,No,0,2159,0.598,cj mccollum,2023-24,842,0,59
14,0.7,-0.7,119,49,47.2,2,90,12,73,200,G,No,0,1004,0.476,jevon carter,2023-24,362,0,35
56,2.6,-0.3,108,523,49.5,1,58,22,83,265,C,No,0,1755,0.528,jonas valanciunas,2020-21,1039,0,37
77,2.8,0.2,107,575,45.7,1,58,16,83,265,C,No,0,1845,0.466,jonas valanciunas,2019-20,1104,0,28
116,3.8,0.9,104,711,42.6,1,79,36,84,250,F,Yes,0.052,2154,0.622,joel embiid,2018-19,1363,0,43
112,3.8,1.3,100,547,42,1,67,34,84,250,C,Yes,0.323,1912,0.634,joel embiid,2017-18,1127,0,37
34,1.4,-1.3,120,434,48,2,106,23,79,225,F,No,0,2581,0.256,miles bridges,2023-24,969,0,62
190,2.8,0.8,114,292,47.7,0,107,23,85,282,C,No,0,2411,0.598,brook lopez,2023-24,1751,0,40
69,3,0,103,477,45.8,3,61,20,84,255,C,No,0,1727,0.72,jonas valanciunas,2017-18,1131,0,31
74,1.6,1.2,112,206,47.7,0,50,10,81,245,F,No,0,1130,0.561,trayce jacksondavis,2023-24,620,0,27
8,1.2,0.3,116,100,47.7,1,76,12,72,185,G,No,0,1269,0.5,aaron holiday,2023-24,440,0,38
63,3,-0.8,105,533,48.6,2,69,0,84,255,C,No,0,2066,0.622,jonas valanciunas,2016-17,836,0,40
77,2.4,-0.5,102,363,47.6,2,56,0,84,255,C,No,0,1557,0.683,jonas valanciunas,2015-16,696,0,24
8,1.6,-0.8,118,249,48.1,2,110,19,76,187,G,No,0,2337,0.598,malik beasley,2023-24,865,0,55
38,1.5,-0.2,119,162,47.6,0,101,36,77,200,G,No,0,2212,0.476,ayo dosunmu,2023-24,782,0,68
24,2.1,0,114,231,47.8,1,72,11,79,217,F,No,0,1741,0.78,sam hauser,2023-24,676,0,40
113,1,0.2,110,266,49.4,1,88,0,86,270,C,No,0,1878,0.207,roy hibbert,2015-16,904,0,32
22,1.3,-0.6,119,175,47.2,0,85,11,77,215,G,No,0,2152,0.573,spencer dinwiddie,2023-24,761,0,52
96,2.4,-0.9,105,478,47.1,3,75,0,84,255,C,No,0,2096,0.598,jonas valanciunas,2014-15,903,0,32
16,2,-0.4,115,256,48.1,3,72,13,79,230,F,No,0,1831,0.585,georges niang,2023-24,821,0,32
72,3.2,-0.7,104,488,46.7,1,44,0,83,231,C,No,0,2282,0.585,jonas valanciunas,2013-14,970,0,24
16,1,-1.3,121,203,48.1,3,107,39,73,175,G,No,0,2486,0.39,dennis schroder,2023-24,949,0,64
49,1.1,-1.6,120,402,49.2,5,56,14,81,221,F,No,0,2281,0.183,kyle kuzma,2023-24,865,0,35
27,2,-1,117,252,47.3,1,104,34,78,206,G,No,0,2447,0.598,devin booker,2023-24,875,0,61
7,1.5,1.2,113,124,47.5,1,65,10,81,220,F,No,0,1169,0.573,joe ingles,2023-24,278,0,41
110,1.9,-1,115,441,49.4,14,86,18,82,256,C,No,0,1883,0.439,clint capela,2023-24,964,0,44
33,2.6,-0.8,113,465,50.9,0,136,25,82,250,F,No,0,2008,0.598,bobby portis,2023-24,820,0,66
23,1.6,-0.3,115,148,48.6,19,68,17,75,165,G,No,0,1445,0.695,isaiah joe,2023-24,543,0,46
0,0.6,-1,120,76,48.5,5,41,13,72,202,G,No,0,1101,0.561,davion mitchell,2023-24,400,0,14
