#,Player,Height,Wingspan,Length
196,"Brandon Boston Jr.
LAC | SG","6'5.75""","6'10.75""",5
197,"Royce O'Neale
PHX | SF","6'4""","6'9""",5
198,"Aaron Nesmith
IND | SF","6'5""","6'10""",5
199,"Jordan Clarkson
UTA | SG","6'3.25""","6'8""",4.75
200,"Julian Phillips
CHI | SF","6'6.75""","6'11.5""",4.75
201,"Nicolas Batum
PHI | SF","6'8.25""","7'1""",4.75
202,"Zion Williamson
NOP | PF","6'5.75""","6'10.5""",4.75
203,"Al Horford
BOS | C","6'8""","7'0.75""",4.75
204,"Isaiah Jackson
IND | C","6'9.5""","7'2.25""",4.75
205,"Zeke Nnaji
DEN | PF","6'9.25""","7'2""",4.75
206,"Danny Green
| SG","6'5.25""","6'10""",4.75
207,"Leonard Miller
MIN | PF","6'9.25""","7'2""",4.75
208,"Bradley Beal
PHX | SG","6'3.25""","6'8""",4.75
209,"Jaden Springer
BOS | SG","6'3""","6'7.75""",4.75
210,"Kendall Brown
IND | SF","6'6.25""","6'11""",4.75
211,"James Bouknight
| SG","6'3.5""","6'8.25""",4.75
212,"Theo Maledon
| PG","6'4""","6'8.75""",4.75
213,"Trayce Jackson-Davis
GSW | C","6'8.25""","7'1""",4.75
214,"Dyson Daniels
NOP | SG","6'6""","6'10.5""",4.5
215,"Gary Trent Jr.
TOR | SG","6'4.25""","6'8.75""",4.5
216,"Paul Reed
PHI | PF","6'9""","7'1.5""",4.5
217,"Ivica Zubac
LAC | C","6'11.5""","7'4""",4.5
218,"Isaiah Joe
OKC | SG","6'3""","6'7.5""",4.5
219,"Max Christie
LAL | SG","6'4.25""","6'8.75""",4.5
220,"Luka Doncic
DAL | SF","6'6.5""","6'11""",4.5
221,"Nic Claxton
BKN | C","6'10""","7'2.5""",4.5
222,"Bobby Portis
MIL | PF","6'9.5""","7'2""",4.5
223,"Keldon Johnson
SAS | SF","6'4.75""","6'9.25""",4.5
224,"Dariq Whitehead
BKN | SG","6'5.75""","6'10.25""",4.5
225,"Karl-Anthony Towns
MIN | C","6'11""","7'3.5""",4.5
226,"Jae Crowder
MIL | PF","6'4.75""","6'9.25""",4.5
227,"De'Aaron Fox
SAC | PG","6'2""","6'6.5""",4.5
228,"Bennedict Mathurin
IND | SG","6'4.5""","6'9""",4.5
229,"Tyus Jones
WAS | PG","6'0.5""","6'5""",4.5
230,"Josh Hart
NYK | SF","6'3.75""","6'8.25""",4.5
231,"Tobias Harris
PHI | PF","6'6.5""","6'11""",4.5
232,"Jalen Johnson
ATL | PF","6'7.75""","7'0.25""",4.5
233,"Trey Murphy III
NOP | SF","6'7.5""","7'0""",4.5
234,"Patrick Baldwin Jr.
WAS | PF","6'9.25""","7'1.75""",4.5
235,"Trey Lyles
SAC | PF","6'9""","7'1.5""",4.5
236,"Chimezie Metu
| C","6'8""","7'0.5""",4.5
237,"Jarred Vanderbilt
LAL | PF","6'8.5""","7'1""",4.5
238,"Jordan Nwora
TOR | PF","6'5.75""","6'10.25""",4.5
239,"Julius Randle
NYK | PF","6'7.75""","7'0""",4.25
240,"Jonathan Kuminga
GSW | SF","6'7""","6'11.25""",4.25
241,"Isaiah Wong
IND | SG","6'2.5""","6'6.75""",4.25
242,"Harrison Barnes
SAC | PF","6'7""","6'11.25""",4.25
243,"Kessler Edwards
SAC | SF","6'7""","6'11.25""",4.25
244,"Terquavion Smith
PHI | SG","6'2.5""","6'6.75""",4.25
245,"Andre Jackson Jr.
MIL | SF","6'5.5""","6'9.75""",4.25
246,"Miles Bridges
CHA | SF","6'5.25""","6'9.5""",4.25
247,"Grayson Allen
PHX | SG","6'3""","6'7.25""",4.25
248,"Johnny Davis
WAS | SG","6'4.25""","6'8.5""",4.25
249,"Sandro Mamukelashvili
SAS | PF","6'9""","7'1.25""",4.25
250,"Taylor Hendricks
UTA | PF","6'8.25""","7'0.5""",4.25
251,"Caris LeVert
CLE | SF","6'5.75""","6'10""",4.25
252,"Sidy Cissoko
SAS | SF","6'5.5""","6'9.75""",4.25
253,"Davion Mitchell
SAC | PG","6'0""","6'4.25""",4.25
254,"Kira Lewis Jr.
UTA | PG","6'0.75""","6'5""",4.25
255,"Gary Harris
ORL | SG","6'2.5""","6'6.75""",4.25
256,"Josh Minott
MIN | PF","6'7.5""","6'11.75""",4.25
257,"Jaylin Williams
OKC | C","6'8.75""","7'1""",4.25
258,"Aaron Gordon
DEN | PF","6'7.5""","6'11.75""",4.25
259,"Derrick White
BOS | SG","6'3.25""","6'7.5""",4.25
260,"Dante Exum
DAL | SG","6'5""","6'9""",4
261,"Pat Connaughton
MIL | SG","6'4""","6'8""",4
262,"Patrick Williams
CHI | SF","6'7""","6'11""",4
263,"Harry Giles III
LAL | C","6'11""","7'3""",4
264,"Giannis Antetokounmpo
MIL | PF","6'11""","7'3""",4
265,"Khris Middleton
MIL | SF","6'6.75""","6'10.75""",4
266,"Saddiq Bey
ATL | SF","6'7""","6'11""",4
267,"Walker Kessler
UTA | C","7'0.25""","7'4.25""",4
268,"Cedi Osman
SAS | SF","6'7""","6'11""",4
269,"Trent Forrest
ATL | PG","6'3.5""","6'7.5""",4
270,"Kris Murray
POR | PF","6'7.75""","6'11.75""",4
271,"Markquis Nowell
| PG","5'8""","6'0""",4
272,"Wesley Matthews
ATL | SG","6'4.5""","6'8.5""",4
273,"Darius Garland
CLE | PG","6'1""","6'5""",4
274,"Dereon Seabron
NOP | SF","6'5""","6'8.75""",4
275,"Alex Len
SAC | C","6'11.5""","7'3.5""",4
276,"Duop Reath
POR | C","6'9""","7'1""",4
277,"Noah Clowney
BKN | PF","6'10""","7'2""",4
278,"CJ McCollum
NOP | SG","6'2.25""","6'6.25""",4
279,"Jabari Walker
POR | PF","6'6.75""","6'10.75""",4
280,"Jae'Sean Tate
HOU | PF","6'4""","6'8""",4
281,"Jalen McDaniels
TOR | PF","6'8.25""","7'0.25""",4
282,"Jevon Carter
CHI | PG","6'0.25""","6'4.25""",4
283,"Grant Williams
CHA | PF","6'5.75""","6'9.75""",4
284,"Nick Richards
CHA | C","6'10.5""","7'2.25""",3.75
285,"Keon Johnson
BKN | SG","6'3.5""","6'7.25""",3.75
286,"Quentin Grimes
DET | SG","6'4""","6'7.75""",3.75
287,"LeBron James
LAL | PF","6'8.5""","7'0.25""",3.75
288,"Devin Booker
PHX | SG","6'4.5""","6'8.25""",3.75
289,"Jrue Holiday
BOS | PG","6'3.25""","6'7""",3.75
290,"Dylan Windler
ATL | SF","6'6.25""","6'10""",3.75
291,"Zach LaVine
CHI | SG","6'4.5""","6'8.25""",3.75
292,"Lonzo Ball
CHI | PG","6'5.25""","6'9""",3.75
293,"Spencer Dinwiddie
LAL | PG","6'4.5""","6'8.25""",3.75
294,"Ben Simmons
BKN | SF","6'9""","7'0.5""",3.5
295,"Goga Bitadze
ORL | C","6'10.5""","7'2""",3.5
296,"Kevin Love
MIA | PF","6'7.75""","6'11.25""",3.5
297,"Nikola Jokic
DEN | C","6'11.5""","7'3""",3.5
298,"Kristaps Porzingis
BOS | C","7'2.5""","7'6""",3.5
299,"Jaime Jaquez Jr.
MIA | SF","6'6""","6'9.5""",3.5
300,"Anthony Gill
WAS | PF","6'7.5""","6'11""",3.5
301,"Cam Thomas
BKN | SG","6'3""","6'6.5""",3.5
302,"Isaac Okoro
CLE | SF","6'5""","6'8.5""",3.5
303,"Jalen Green
HOU | SG","6'4""","6'7.5""",3.5
304,"Jayson Tatum
BOS | SF","6'7.5""","6'11""",3.5
305,"Paolo Banchero
ORL | PF","6'9""","7'0.5""",3.5
306,"Cory Joseph
| PG","6'2""","6'5.5""",3.5
307,"Kobe Bufkin
ATL | SG","6'4.25""","6'7.75""",3.5
308,"Malik Beasley
MIL | SG","6'3.5""","6'7""",3.5
309,"Aleksej Pokusevski
CHA | PF","6'11.5""","7'3""",3.5
310,"Colby Jones
SAC | SG","6'4.5""","6'8""",3.5
311,"Moses Brown
POR | C","7'1.25""","7'4.75""",3.5
312,"Ja Morant
MEM | PG","6'2.5""","6'6""",3.5
313,"Luka Garza
MIN | C","6'10""","7'1.5""",3.5
314,"Kentavious Caldwell-Pope
DEN | SG","6'4.5""","6'8""",3.5
315,"Furkan Korkmaz
| SG","6'6.5""","6'10""",3.5
316,"Paul George
LAC | SF","6'7.75""","6'11.25""",3.5
317,"Caleb Houstan
ORL | SG","6'7.5""","6'11""",3.5
318,"Bryce McGowens
CHA | SG","6'5.25""","6'8.75""",3.5
319,"DeMar DeRozan
CHI | SF","6'5.5""","6'9""",3.5
320,"Julian Strawther
DEN | SF","6'6""","6'9.25""",3.25
321,"Klay Thompson
GSW | SG","6'5.75""","6'9""",3.25
322,"Lamar Stevens
MEM | SF","6'5.75""","6'9""",3.25
323,"Delon Wright
MIA | PG","6'4.25""","6'7.5""",3.25
324,"GG Jackson
MEM | PF","6'8.25""","6'11.5""",3.25
325,"Vlatko Cancar
DEN | PF","6'7.75""","6'11""",3.25
326,"Jeremy Sochan
SAS | PF","6'8.5""","6'11.75""",3.25
327,"R.J. Hampton
| SG","6'3.75""","6'7""",3.25
328,"John Konchar
MEM | SF","6'4.75""","6'8""",3.25
329,"Georges Niang
CLE | PF","6'6.75""","6'10""",3.25
330,"Jordan Poole
WAS | SG","6'3.5""","6'6.75""",3.25
331,"Killian Hayes
| PG","6'4.75""","6'8""",3.25
332,"Brandon Miller
CHA | SF","6'9""","6'11.5""",3
333,"Jalen Brunson
NYK | PG","6'1""","6'4""",3
334,"Jamal Murray
DEN | PG","6'3.5""","6'6.5""",3
335,"Danilo Gallinari
MIL | PF","6'10""","7'1""",3
336,"John Collins
UTA | PF","6'8.25""","6'11.25""",3
337,"Dwight Powell
DAL | C","6'9.5""","7'0.5""",3
338,"Cameron Johnson
BKN | PF","6'7""","6'10""",3
339,"Marcus Morris Sr.
CLE | PF","6'7""","6'10""",3
340,"Oshae Brissett
BOS | PF","6'7""","6'10""",3
341,"Payton Pritchard
BOS | PG","6'1""","6'4""",3
342,"Chris Paul
GSW | PG","6'1""","6'4""",3
343,"Seth Curry
CHA | SG","6'1""","6'4""",3
344,"Terance Mann
LAC | SF","6'4.75""","6'7.75""",3
345,"Tyrese Haliburton
IND | PG","6'4.75""","6'7.75""",3
346,"Craig Porter Jr.
CLE | PG","6'1""","6'4""",3
347,"Day'Ron Sharpe
BKN | C","6'9""","7'0""",3
348,"Doug McDermott
IND | SF","6'6.25""","6'9.25""",3
349,"Keegan Murray
SAC | PF","6'8""","6'11""",3
350,"Markieff Morris
DAL | C","6'7.75""","6'10.75""",3
351,"Reggie Bullock Jr.
HOU | SF","6'5.75""","6'8.75""",3
